ሀ,ሀ,,ሀ /ha/ ስ/n. (በክስታንኛ ፊደል ገበታ ቀዳሚ ፊደል) the first letter of the Kistaninya alphabet  ,
ለብ,ሊበጦ,,"ሊበ%ጦ /libb#t'o/  ግ/v. [yilibb«t'u, wol«b«t'] (ለብ% ኣለ) become lukewarm ዪጊ ሊበ%ጦ፡፡ (ውሃው ለብ% ኣለ፡፡) The water has become lukewarm ",
, ልቡጥ,lukewarm , ልቡ%ጥ /l³bbut'/ ቅ/adj. (ለብ ያለ ፈሳሽ) lukewarm ,
ፈቃድ,ሊቼንሳ,license,ሊቼንሳ /ličensa/ ስ/n. (ሊቼንሳ፣የንግድ ፈቃድ) license ,
ለካ,ሊካው,measure,"ሊካ%ው /likkaw/ ግ/v. [yilikkaw, l#kka, wol#kka] (ለካ) measure",
,ሊገሞ,,ሊገ%ሞ /ligg#mo/ ተመልከት see ኣለጦ al#t′o.,
ለጋሚ,ልግመኘ,malingerer,v ልግመኘ% /l³gm«ññ«/ ቅ/adj. (ለጋሚ) malingerer ልግመኘ% ሰብ ቲመልጥለ፡፡ (ልግመኛ ሰው ኣያልፍለትም፡፡) A malingerer never prospers.  ,
ለጠፈ,ሊጠፎ,paste,"ሊጠ%ፎ /lit′t′#fo/ ግ/v. [yilit't'³fu, l#t't'³f, wol#t't'³f] (ለጠፈ፣ መረገ) paste, plaster (as with mud) ",
መረገ,ሊጠፎ,plaster,"ሊጠ%ፎ /lit′t′#fo/ ግ/v. [yilit't'³fu, l#t't'³f, wol#t't'³f] (ለጠፈ፣ መረገ) paste, plaster (as with mud) ",
መራጊ,ለጣፊ,,v ለጣ%ፊ /l«t′t′afi/ ስ/n. (ለጣፊ፣ መራጊ) one who plasters ,
ሊጥ,ሊጢ,dough,ሊጢ /lit′i/ ስ/n. (ሊጥ) dough ,
ላይ,ላለ,on,ላለ /lal«/ መዋ/prep. (ላይ) on በጠረጴዚ ላለ (ጠረጴዛው ላይ) on the table ,
ኣዘነ,ላለቼ ባሎ,pity,"ላለቼ% ባሎ1 /lal«čč′e balo/ ግ/v. [lal«čče yiblu, lal«čče b«l, lal«čče wob«l] (ኣዘነ፣ራራ) have pity, be compassionate ",
ራራ,ላለቼ ባሎ,compassionate,"ላለቼ% ባሎ1 /lal«čč′e balo/ ግ/v. [lal«čče yiblu, lal«čče b«l, lal«čče wob«l] (ኣዘነ፣ራራ) have pity, be compassionate ",
,ላለቼ ባሎ,,ላለቼ% ባሎ1 /lal«čč′e balo/ ተመልከት see ሊበ%ሞ1 libb«mo,
ሃረግ,ላሉ ,vine,"ላሉ /lalu/ ስ/n. (ሃረግ {የጫካ}) vine, creeper (Rhoicissus tridentata) ባታ%ት%የ%ን ላሉ ጐተራ ያረሽቦ%ትን፡፡ (ባንዳንድ ኣካባቢ ሃረግ ጐተራ ለመስራት ያገለግላል፡፡) In some areas lalu is used to build grain storage. ",
ኣረም,ላሉጫ,weed,ላሉጫ% /laluč'č'a/ ስ/n. (ከብቶች የሚወዱት ሳር መሰል ኣረም) grass-like weed relished by cattle,
ላላ,ላላው,,ላላ%ው /lallaw/ ግ/v. [yilallaw wolala] (ላላ) become loose ,
ኣሉማ,ላማ,lamma,"ላማ% /lamma/ ስ/n. (ኣሉማ) a kind of edible greens that grows during the rainy season ያልባለለ ላማ%ም ቲለማለ፡፡ (ያላለለት ""ኣሉማም"" ኣይበቅልለት፡፡) ኣባባል Even lamma would not grow for the unfortunate. (saying)",
,ላሜዳ,,ላሜዳ /lameda/ ተመልከት see መንሾ m«nšo,
ላምባ,ላምባ,,ላምባ /lamba/ ስ/n. (ላምባ) oil lamp ,
ለምቦጭ,ላምቦሬ,,"ላምቦሬ /lambore/ ስ/n. (ለምቦጭ፣ ሌንጬጭ) lower lip ኳ ያማክርጐይ ላምቦሬኋን ዝረጋ%ው፡፡ (እሱ ሲያኮርፍ ለምቦጩን ዘረጋ፡፡) When he got sullen, he left his lower lip hanging ከ.ረ/K.R",
,ላስቤ,,ላስ%ቤ /lass³be/ ተመልከት see ኣሰ%ቦ2 ass#bo,
lick,ላሶ,ላሰ,"ላሶ /laso/ ግ/v. [yil«su, las, wolas] (ላሰ) lick ኧላሚ ኣሞሌ ላሶ፡፡ (ላሚቷ ኣሞሌ ላሰች፡፡) The cow licked a bar of salt.",
ሰነፈ,ላሾ,impotent,"ላሾ% /laššo/ ግ/v. [yil«šu, wolaš] (ሰነፈ፣ ደከመ {ለወንድ ብልት}) be impotent (of a male genital)  ",
ዝዋይ,ላቂ ደምበል,Zway,ላቂ ደምበል /lak′i d«mb«l/ ስ/n. (የዝዋይ ሃይቅ) the name given to lake Zway by the Kistanes ,
ኣደገ,ላቆ,grow,"ላቆ /lak′o/ ግ/v. [yil«k'u, lak', wolak'] (ኣደገ) grow ",
,ላባ,,ላባ /laba/ ስ/n. (በብብትና በታፋ መሃል ያለ የጐን ኣካል ክፍል) that part of the body between the armpit and the thigh ,
ላት,ላት,tail,ላት /lat/ ስ/n. (ላት) sheep's tail ,
ላንቃ,ላንቃ,palate,"ላንቃ /lank'a/ ስ/n. (ላንቃ) palate, the roof of the mouth  ",
ኣንባበሮ,ላንኬታ,,ላንኬታ /lanketa/ ስ/n. (ኣንባበሮ) baked t'abeta atop one the other ,
ላከ,ላኮ,send,"ላኮ /lako/ ግ/v. [yil³ku, lak, wol#k] (ላከ) send መላክት ላኮ፡፡ (መልእክት ላከ፡፡) He sent a message.",
,ላይዳ,,ላይዳ /layda/ ተመልከት see መንሾ m«nšo ,
ኣድሎ,ላዮ,biased,ላዮ /layo/ ስ/n. (ኣድሎ ፈፃሚ) one who is biased or favors one over another ,
,ላጐ,,ላጐ /lago/ ስ/n. /ጥንታዊ ቃል/arch. (ወጣት ወንዶች ወይፈን ኣርደው በየተራ የሚገባበዙበት ድግስ) a get together of young men where-by a bull is slaughtered for a feast   ,
ላጨ,ላጮ,shave,"ላጮ% /lač′č′o/ ግ/v. [yilač′č'u, lač′, wolač′] (ላጨ) shave ሸንጐበተው ላጨ%ን%ት:: (ጢሙን ላጨው::) He shaved his beard. ",
 ምላጭ, ምላጭ,razor, ምላጭ /m³lač′/ ስ/n. [1] (ምላጭ) razor  ,
ልጩ,ልጩ,shaven,ልጩ /l³č′u/ ቅ/adj. (ልጩ) shaven  (of head) ጉነነው ልጩ ጐሽ (ፀጉሩን የተላጨ ልጅ) a boy with a shaven head  ,
ላጲስ,ላጲስ,eraser,ላጲ%ስ /lap'p'is/ ስ/n. [1] (ላጲስ) eraser,
ሌላ,ሌላ, other,ሌላ /lela/ ተ.ስ/pron.  (ሌላ) other ,
መሶብ,ሌማት,,ሌማት /lemat/ ስ/n [1] (ሌማት፣ መሶብ) straw table (used for serving food) ,
ለስላሳ,ሌሾ,,ሌሾ /lešo/ ቅ/adj. (ለስላሳ፣ያማረ {ፀጉር}) soft hair ,
ሌባ ,ሌባ ,thief,ሌባ /leba/ ስ/n. [1] (ሌባ) thief  ,
ሌጣ,ሌጣ,bareback,"ሌጣ /let'a/ ቅ/adj. (ሌጣ፣ያልተጫነ ፈረስ ወይም በቅሎ) unseddled, bareback, unbridled (horse or mule) ",
እንስት,ልመቸቲ,fem,"ልመቸ%ቲ% /l³m#čč#tti/ ግ/v./እንስ/fem. [tëlm«čči, wolm«č] (መንታ ወለደች) give birth to twins ገርባ ኪት% ባዮች ልመቸ%ቲ%፡፡ (ገርባ መንታ ልጆች ወለደች፡፡) Gerba gave birth to twins. ",
እርምጥምጥ,ልሙጥሙጥ,slovenly,"ልሙጥሙጥ /l³mut'mut'/ ቅ/adj. (እርምጥምጥ) slatternly, slovenly (person) ",
እርምጥምጥ,ልሙጥሙጥ,slatternly,"ልሙጥሙጥ /l³mut'mut'/ ቅ/adj. (እርምጥምጥ) slatternly, slovenly (person) ",
,ልሙጭሙጭ,,ልሙጭሙጭ /l³muč'muč'/ ተመልከት see ልሙጥሙጥ l³mut'mut',
ልማት,ልማት,development,ልማት /l³mat/ ስ/n. (ልማት) development,
ባህሪ,ልም,behavior,"ልም1 /l³m/ ስ/n. (መልካም ባህሪ፣ጥሩ ጠባይ) good behavior, good conduct ፈያ% ልም ያለ%ን% ሰብ (መልካም ባህሪ ያለው ሰው) one who has a good conduct   ",
ጠባይ,ልም,conduct ,"ልም1 /l³m/ ስ/n. (መልካም ባህሪ፣ጥሩ ጠባይ) good behavior, good conduct ፈያ% ልም ያለ%ን% ሰብ (መልካም ባህሪ ያለው ሰው) one who has a good conduct   ",
ኣመለቢስ,ልመቢስ ,boorish,v ልመቢስ /l³m#bis/ ቅ/adj. (ኣመለቢስ) boorish ,
,ልመተኘ,courteous  ,"ልመተኘ% /l³m#t#ññ#/ ቅ/adj. (መልካም ባህሪ ወይም ጠባይ ያለው ሰው) good-natured, courteous  ",
,ልምዬሎ,,"v ልምዬሎ% /l$myello/ ተመልከት  ""ልም1"" ስር ""ልመቢስ"" see ""l$m#bis"" under ""l³m""",
ደምግባት,ልም,complexion,ልም2 /l$m/ ስ/n. (ደም ግባት) good complexion ክብ%ዬ% ልመተኘ ባይና፡፡ (ክብዬ ደመግቡ ልጅ ናት፡፡) Kebbeyye has got a good complexion.,
,ልሞ,,"ልሞ% /l³mmo/ ስ/n. (መልካም ምኞት መግለጫ ቃል) a word used to wish many happy returns of a good experience ጉርዚ በሸባልጌ ""ልሞ% ዬኩንክም ኩልምጐይ ኣትገበም"" ባለም ሚረቆ፡፡ (ሽማግሌው ሰርግ ቤት ""ሁልጊዜ ዳሩ"" ብለው መረቁ ፡፡) The old man gave his word of blessing wishing the family to get their offspring married quite often. ",
ለሰለሰ,ልሰለሶ,smooth,"ልሰለ%ሶ /lës«ll«so/ ግ/v. [yils«lësu, wol«slës] (ለሰለሰ) become soft, become smooth ",
ለስላሳ,ለስላሳ,soft,"ለስላሳ% /l«slassa/ ቅ/adj. (ለስላሳ) smooth, soft",
ልስላሴ,ልስላሴ,softness,ልስላ%ሴ /l³s³llase/ ስ/n. (ልስላሴ) softness,
,ልቀቀሞ,,"ልቀቀ%ሞ /lëk'«k'k'«mo/ ""ለቀ%ሞ"" ስር ተመልከት see under ""l«k'k'«mo""",
,ልቃቀሞ,,"ልቃቀ%ሞ /lëk'ak'k'mo/ ""ለቀ%ሞ"" ስር ተመልከት see under ""l«k'k'«mo""",
ትርምስምስ ,ልቅስቅስ ባሎ,swarm,"ልቅስቅስ ባሎ /l³k'³sk'³s balo/ ግ/v. [lëk'ësk'ës yiblu, lëk'ësk'ës wob«l] (ትርምስምስ ኣለ) swarm (for ants, etc.), run about  ጐንዳ በልገገ%ዱ ልቅስቅስ ዪብሉ፡፡ (ጉንዳን ከተነካካ ትርምስምስ ይላል፡፡) Ants swarm if provoked. ",
ለበለበ,ልበለቦ,singe,"ልበለ%ቦ1 /l³b«ll«bo/ ግ/v. [yilb«llëbu, wol«blëb] (ለበለበ) singe ኧሳቲ ሰሞትዲ ልበለ%ቤው፡፡ (እሳቱ ፀጉሬን ለበለበኝ፡፡) The flame singed my hair.  ",
ኣቃረ,ልበለቦ,heartburn,"ልበለ%ቦ2 /l³b«ll«bo/ ግ/v. [yilb«llëbu, wol«blëb] (ኣቃረ) feel heartburn  ",
ዝንጉ,ልበቢስ ,forgetful ,ልበ%ቢስ /l³bb#bis/ ቅ/adj. (ልበቢስ፣ ዝንጉ) forgetful ልበ%ቢስ ሰብ መላክት ለዋስላ ቲታመ%ን፡፡ (ልበቢስ ሰው መልክት ለማድረስ ኣይታመንም፡፡) A forgetful person would not be reliable to convey a message. ,
ልባም,ልበተኘ,mindful,"ልበ%ተኘ%/l³bb«t«ññ«/ ቅ/adj. (ልባም፣ ጥንቁቅ) mindful, careful ልበ%ተኘ% ምሽት (ጠንቃቃ ሴት) a mindful woman ",
ጥንቁቅ,ልበተኘ, careful,"ልበ%ተኘ%/l³bb«t«ññ«/ ቅ/adj. (ልባም፣ ጥንቁቅ) mindful, careful ልበ%ተኘ% ምሽት (ጠንቃቃ ሴት) a mindful woman ",
ልብስ,ልባሽ,cloth,ልባ%ሽ l³bbaš/ ስ/n. (ልብስ) cloth ለኣክራሚ ኣዲ%ስ ልባ%ሽ ዋጀ%ኖ:: (ለእንቁጣጣሽ ኣዲስ ልብስ ገዛን::) We bought new clothes for the Ethiopian New Year holiday.  ,
ልብ,ልብ,heart,ልብ%1 /l³bb/ ስ/n. (ልብ) heart ,
ቀልብ,ልብ,mind,"ልብ%2 /l³bb/ ስ/n. (ቀልብ) mind, power of reasoning",
,ልባም,,v ልባ%ም /l³bbam/ ተመልከት see ልበ%ተኘ% l³bb«t«ññ«,
ቃር,ልብለበ ,heartburn,ልብለበ /l³bl«b«/ ስ/n. (ቃር) heartburn ልብለበ ጨጓ%ራ% ያትሚጥ%ጡ:: (ቃር ጨጓራ ያሳምማል::) Heartburn causes stomach pain.,
መጠነኛ,ልከኘ,medium-sized,ልከ%ኘ% /l³kk«ññ«/ ቅ/adj. (መጠነኛ፣ ልከኛ) medium-sized ልከ%ኘ% ጣባ (መካከለኛ ጣባ) a medium-sized clay bowl  ,
ልኬት ,ልኬት ,measurement,ልኬት /lëket/ ስ/n. (ልኬት) measurement ,
ትክክል,ልክ,correct,"ልክ%1 /l³kk/ ስ/n. (ትክክል) correct, right   ",
ትክክል,ልክ,right,"ልክ%1 /l³kk/ ስ/n. (ትክክል) correct, right  ",
ልኬታ,ልክ,size,ልክ%2 /l³kk/ ቅ/adj. (ልክ፣ልኬታ) size ,
ልክፍት,ልክፍት,,ልክፍት /l³k³ft/ ስ/n. (ልክፍት) adverse effect (on the body and the mind caused by evil spirit)  ,
ልዩ,ልይ,special,ልይ% /l³yy/ ቅ/adj. (ልዩ) special ኪያ ልይ% ዬኮነ አዲ%ስ ቀሚስ ለበሰት%ም፡፡ (እሷ ልዩ የሆነ አዲስ ቀሚስ ለብሳለች፡፡) She is dressed in a special new skirt.,
ልዩነት,ልይነት,difference,ልይነ%ት /l³y³nn«t/ ስ/n.  (ልዩነት) difference  ኪቲ% ዘማ%ች የአሳብ ልይነ%ት ዪነነ%ሙን፡፡ (ሁለቱ ወንድማማቾች የሃሳብ ልዩነት አላቸው፡፡) The two brothers have differences of opinion. ,
ቀላወጠ,ልገለጐ,sponge,"ልገለ%ጐ /lëg«llgo/ ግ/v. [yilg«llëgu, wol«glëg] (ቀላወጠ፣ከጀለ) sponge, crave, desire ",
ከጀለ,ከጀለ,desire,"ልገለ%ጐ /lëg«llgo/ ግ/v. [yilg«llëgu, wol«glëg] (ቀላወጠ፣ከጀለ) sponge, crave, desire ",
ቀላዋጭ,ለግላግ,scrounger,"ለግላግ /l«glag/ ቅ/adj. (ቀላዋጭ፣ሳይጋበዝ ወደ ግብዣ የሚሄድ) sponger, scrounger ለግላግ ቲዎዱ፡፡ (ቀላዋጭ ኣይወደድም፡፡) A sponger is not welcomed. ",
ቀባጠረ,ልፈለፎ,prattle,"ልፈለ%ፎ /lëf«ll«fo/ ግ/v. [yilf«llëfu, l«flëf, wol«flëf] (ለፈለፈ፣ቀባጠረ) prattle ሽረኚ% ምስ% ኣታ%ት%ጐይ እም% ዪብልም ዪልፈል%ፉ፡፡ (የኣእምሮ በሽተኛው ኣንዳንዴ ዝም ብሎ ይለፈልፋል፡፡) The mad man sometimes prattles. ",
ልፍለፋ,ልፍለፈ,prattling,ልፍለፈ /lëfl«f«/ ስ/n. (ልፍለፋ) prattling  ,
ድካም,ልፋት ,fatigue,"ልፋት /l³fat/ ስ/n. (ድካም) fatigue, hard work",
መዘዝ,ሎሎ,consequence,ሎሎ /lolo/ ስ/n. (መዘዝ፣ጦስ) consequence     ,
ነገረኛ, ሎሎተኘ,captious , ሎሎተኘ% /lolot«ññ«/ ቅ/adj. (ጠንቀኛ፣ነገረኛ) one whose action causes trouble ,
ሎሚ,ሎሚ,lemon,ሎሚ /lomi/ ስ/n. [1] (ሎሚ) lemon (Citrus medica),
ጠፍር,ሎሳ,strap,ሎሳ /losa/ ስ/n. (በቅሎ፣ፈረስ፣ወዘተ. መጐተቻ ጠፍር ወይም ገመድ) rope or leather strap used to lead a bridled mule or horse.,
ገመድ,ሎሳ,rope,ሎሳ /losa/ ስ/n. (በቅሎ፣ፈረስ፣ወዘተ. መጐተቻ ጠፍር ወይም ገመድ) rope or leather strap used to lead a bridled mule or horse.,
ዞረ,ሎሶ , wander,"ሎሶ /loso/ ግ/v. [yilosu, wolus] (ዞረ፣ዙረት ሄደ) wander, move (from place to place) ውሲ% ይበላን%ቃይ ለዋግኝ ሎሶ፡፡ (ውሻው የሚበላውን ፍለጋ ዞረ፡፡) The dog wandered looking for some food.",
ተቅማጥ,ሎሻ,dysentery,ሎሻ /loša/ ስ/n. (ተቅማጥ {የላም ወይም የበሬ}) dysentery (of cattle) ሎሻ ዪዘ%ን ኧላም ዪከሳው፡፡ (ተቅማጥ የያዛት ላም ትከሳለች፡፡) A cow that has dysentery loses weight.,
ከሲታ,ሎቅላቃ,emaciated,ሎቅላቃ% /lok′'lak′k′a/ ቅ/adj. (ጣጋ፣ ከሲታ) emaciated ከብሰ የሰጨ ሰብ ከርስ ሎቅላቃ%ን፡፡ (ኮሶ የጠጣ ሰው ሆድ ጣጋ ነው፡፡) A belly after taking anthelmintic medicine would be rather emaciated.,
ጣጋ,ሎቅሎቅ ባሎ,emaciated ,"ሎቅሎቅ ባሎ /lok'lok' balo/ ግ/v. [lok'lok' yiblu, lok'lok' wob«l] (ጣጋ ሆነ፣ከሲታ ሆነ) become emaciated  ",
እንጥልጥል,ሎቲ,wattles,ሎቲ1 /loti/ ስ/n. [1] (እንጥልጥል፣በበግ ወይም በፍየል ኣንገት ግራና ቀኝ ተንጠልጥሎ የሚታይ) a pair of cylindrical small wattles on either side of the neck of some sheep or goats ,
ሎቲ,ሎቲ,earring,"ሎቲ2 /loti/ ስ/n. [1] (ሎቲ፣በገዳይ ጆሮ ላይ የሚንጠለጠል ጌጥ) broad earring worn by one who has killed a lion, an elephant, .. etc.",
,ሎቸ ,tear,ሎቸ /loč«/ ስ/n. (ወፍራም ወይም ትልቅ የእንባ ጠብታ) a big drop of tear ባዪ% ሎቸ ሎቸ በሾ%፡፡ (ልጁ ትልልቅ እምባ ዱብ ዱብ ኣረገ፡፡) The baby shed big drops of tear. ,
ጦርመሪ,ሎይዳሎ,,ሎይዳሎ% /loydallo/ ስ/n. (በቀድሞ ጊዜ የክስታኔ ጉራጌ ጦር መሪ መጠሪያ) prestigious name for a war leader of the Kistane Gurage people in olden days ገቾ%% የሺ%ለ ሎይዳሎ% ነበር፡፡ (ገቾ% የታወቀ የጦር መሪ ነበር፡፡) Gecho was a famous war leader. ከ.ረ/K.R,
ቀስ,ሎድ ባሎ,slow ,"ሎድ% ባሎ /lodd balo/ ግ/v. [lodd yiblu, lodd b«l, lodd wob«l] (ቀስ ኣለ፣ዝግ ኣለ) be slow ኣትጉግ፣ሎድ% በልም ኧለፍ:: (ኣትቸኩል፣ቀስ ብለህ ሂድ::) Don't be in a hurry, go slowly. ",
ዝግታ,ሎድታ,slowness,ሎድ%ታ /lodd³ta/ ስ/n. (ቀስታ፣ዝግታ) slowness ተጉጋት ሎድታ ይጮኙ%፡፡ (ከችኮላ ዝግታ ይሻላል፡፡) Slowness is better than haste. ,
ዳረ,ሎጆ,,"ሎጆ%/loğğo/ ግ/v. [yiloğğu, luğ, woluğ] (ዳረ) give in marriage ስሙሪ ገረደው ሎጆ፡፡ (ስሙሪ ሴት ልጁን ዳረ፡፡) Simuri gave his daughter in marriage. ",
ለኰሰ,ሎገጦ,ignite,"ሎገ%ጦ1 /logg«t′o/ ግ/v. [yilogt'u, logt', w«logt'] (ለኰሰ፣ ኣቀጣጠለ) ignite, start fire ኪያ ኧሳት ሎገ%ጠቲ%:: (እሷ እሳት ኣቀጣጠለች::) She started fire. ",
ኣቀጣጠለ,ሎገጦ,ignite,"ሎገ%ጦ1 /logg«t′o/ ግ/v. [yilogt'u, logt', w«logt'] (ለኰሰ፣ ኣቀጣጠለ) ignite, start fire ኪያ ኧሳት ሎገ%ጠቲ%:: (እሷ እሳት ኣቀጣጠለች::) She started fire. ",
ቆሰቆሰ,ሎገጦ,provoke,"ሎገ%ጦ2 /logg«t′o/ ግ/v. [yilogt'u, w«logt'] (ቆሰቆሰ፣ለኰሰ {ነገር}) provoke quarrel ምሽቲ% ያልኮ%ነቃይ ሎገ%ጠትም የምስ%ሂ ተዎለሆ ኣጣ%ላቱ%ት፡፡ (ሴትዮዋ ያልሆነ ነገር ለኩሳ ባሏን ከጐረቤት ጋር አጣላችው፡፡) The woman provoked a quarrel between her husband and their neighbor by telling him lies. ",
መቀርቀሪያ,ሎጊየ ,bolt,ሎጊየ /logiy#/ ስ/n. [1] (መቀርቀሪያ) bolt or bar for closing a door   ,
መለሎ,ሎጋ,tall,"ሎጋ1 /loga/ ቅ/adj. (ሎጋ፣መለሎ {ለቁመና}) attractive posture, a tall handsome youth (male) ",
ጦር,ሎጋ, spear,ሎጋ2 /loga/ ስ/n. [1] (ጦር) spear ,
ተሸበሸበ,ሎጭሎጭ ባሎ,wrinkled,"ሎጭሎጭ ባሎ /loč'loč' balo/ ግ/v. [loč'loč' yiblu, loč'loč' wob«l] (ተሸበሸበ {ለሰው ቆዳ}) be wrinkled (facial skin) የጉርዚ ኣንገት ሎጭሎጭ ባለም፡፡ (የኣሮጊቷ ኣንገት ተሸብሽቧል፡፡) The old woman's neck is wrinkled",
ትሙክ ,ሎፍሎፍ ባሎ,,"ሎፍሎፍ ባሎ /loflof balo/ ግ/v. [loflof yiblu, loflof wob«l] (ትሙክ ትሙክ ኣለ) yield to the touch ለስላሳ እዌ% ዪለግዱጐይ ሎፍሎፍ ዪብሉ፡፡ (ለስላሳ ዳቦ ሲነኩት ትሙክ ትሙክ ይላል፡፡) Soft bread easily yields to the touch.  ",
መ ,መ ,,"መ /mä/ (በክስታንኛ ፊደል ገበታ ከ ""ለ"" ቀጥሎ የሚገኘው ፊደል) the name of the letter next to ""l#"" of the Kistaninya alphabet ",
መሃመድ,መሃመድ,Mohammad,"መሃመ%ድ /mähammäd/ ስ/n. (መሃመድ፣የእስልምና ሃይማኖት መስራች ነቢይ) Mohammad, the name of the prophet of Allah (God) and founder of the Islamic religion",
መሃረብ,መሃረም,handkerchief,መሃረ%ም/mäharräm/ ስ/n. [1] (መሃረብ) handkerchief,
,መህራ,,"መህራ% /mäh³rra/ ስ/n. (የእንሰት መፋቅ ደቦ {በበጋ}) summer cooperative work (for harvesting «ss«t በኣባር መህራ% ዪፈቁትን:: (በበጋ ""መህራ"" ይፋቃል::) Harvesting m«hërra is done during summer.  ",
,መለላ ,,መለላ /m#l#la/ ስ/n. (መልካም ምኞት መግለጫ የዱለቻ ላም እርድ {በጥቅምት ወር ውስጥ የሚከናወን}) the practice of slaughtering a sterile cow in t'ëk'ëmt (signifying good wish for the community) ,
,መለሎ,,መለሎ /m#l#lo/ ተመልከት see ሎጋ1 loga,
ሰለበ,መለሎ,castrate,"መለ%ሎ /m#ll#lo/ ግ/v. [yim«llu, womlël] (ሰለበ) castrate (a person) ",
ስልብ,ሚላንሹ,eunuch, ሚላንሹ /milanšu/ ስ/n. (ስልብ) eunuch ,
ሙልጭ,መለመላ,bare,"መለመላ /mälämäla/ ቅ/adj. (ሙልጭ) bare, one who has lost everything ቄንሶ ሱቂ በነደደቦጐይ መለመላኋን ቂሮ%፡፡ (ቄንሶ ሱቁ ከተቃጠለበት በኋላ ሙልጩን ቀረ፡፡) Kenso lost all his property after his shop was burnt down. ",
ምልምል,መለመል,pruned,መለመል /mälämäl/ ቅ/adj. (ምልምል) pruned or trimmed (for trees) መለመል ዛፍ (ምልምል ዛፍ) pruned or trimmed tree,
መላ ,መለቼ ባሎ,solution,"መለቼ% ባሎ /mäläčče balo/ ግ/v. [mäläčče yiblu, mäläčče bäl, mäläčče wob«l] (መላ ፈለገ) find a solution (to a problem) እዱ%ብ መለቼ% ዎበል ዪሾ%:: (ችግር ዘዴ ይፈልጋል::) Problems need solutions.",
,መለኘ,,መለኘ% /mäläññä/ ስ/n. (ከቆዳ የተሰራ ጉርድ ቀሚስ {በቀድሞ ጊዜ ይለበስ የነበረ}) a well tanned leather skirt (worn by women in the olden days) ብርዞ መለኘ% ለበ%ሰትም፡፡ (ብርዞ መለኘ% ለብሳለች፡፡) Birzo has dressed a leather skirt.,
መለኪያ,መለኪያ,,መለኪ%ያ1 /mäläkkiya/ ስ/n. (መለኪያ {ኣረቄ መጠጫ}) a small glass used for drinking liquors ,
መመዘኛ,መለኪያ,measuring,መለኪ%ያ2 /mäläkkiya/ ስ/n. (መመዘኛ፣ መስፈሪያ) measuring instrument or tool,
መለኮታዊ,መለኮታዊ,Divine,መለኮታዊ /mäläkotawi/ ቅ/adj. (መለኮታዊ) of Divine God  ,
መለኮት,መለኮት,divinity,መለኮት /mäläkot/ ስ/n. (መለኮት፣ ረቂቅ የሆነ የኣምላክ ባህርይ) divinity,
ኮፊያ,መለዮ,cap,መለ%ዮ%1 /mälläyyo/ ስ/n. [1] (መለዮ፣ ኮፊያ) cap ,
ኣድልዎ,መለዮ,favoritism,መለ%ዮ%2 /mälläyyo/ ስ/n. (ኣድልዎ) favoritism ኳ መግብ ዪሰድጐይ ኣቲ% ታቲ% መለ%ዮ% ዪቂና%ው:: (እሱ ምግብ  ሲያድል ኣድልዎ ያደርጋል::) He shows favoritism in distributing food. ,
ኣቻ,መለዮ,match,መለ%ዮ%3 /mälläyyo/ ቅ/adj. (ኣቻ፣ወደር) match ባልቶ ለገረድነ%ትኪ መለ%ዮ% የለ%ና%፡፡ (ባልቶ ለሙያዋ ኣቻ የላትም::) Balto is unmatched to any other woman for her womanly skills.  ,
ገረፈ,መለጐ,whip,"መለ%ጐ1 /mällägo/ ግ/v. [yim«lgu, womlëg] (ገረፈ) lash, whip ኣለሙ ያጠፈ%ሚ ባዮ%ች% በማጫ መለ%ጐ፡፡ (ኣለሙ ጥፋተኞቹን ልጆች በለበቅ ገረፈ::) Alemu lashed the naughty boys with a wand.",
